title,author,language,year,copiesSold,genre
A Tale of Two Cities,Charles Dickens,English,1859,200 million,Historical fiction
The Hobbit,J. R. R. Tolkien,English,1937,140.6 million[19],Fantasy
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120 million[17][18],Fantasy
The Little Prince,Antoine de Saint-Exupéry,French,1943,100 million[19],Novella
Dream of the Red Chamber,Cao Xueqin,Chinese,1800,100 million[19],Family saga
And Then There Were None,Agatha Christie,English,1939,100 million[20],Mystery
"The Lion, the Witch and the Wardrobe",C. S. Lewis,English,1950,85 million[21],Fantasy
She: A History of Adventure,H. Rider Haggard,English,1887,83 million[22],Adventure
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,80 million[23][24],Fantasy
The Da Vinci Code,Dan Brown,English,2003,80 million[25],Mystery thriller
Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77 million[26],Fantasy
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65 million[27],Fantasy
Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65 million[27],Fantasy
Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65 million[27],Fantasy
Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65 million[27],Fantasy
Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65 million[27],Fantasy
The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,65 million[28][29],Fantasy
The Catcher in the Rye,J. D. Salinger,English,1951,65 million [30],Coming-of-age
The Bridges of Madison County,Robert James Waller,English,1992,60 million[31],Romance
Ben-Hur: A Tale of the Christ,Lew Wallace,English,1880,50 million[32],Historical
You Can Heal Your Life,Louise Hay,English,1984,50 million[33],Self-improvement
One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Spanish,1967,50 million[34][35][36],Magic realism
Lolita,Vladimir Nabokov,English,1955,50 million[37],General
Heidi,Johanna Spyri,Swiss German,1880,50 million[38],Children's fiction
The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50 million[39],Manual
Anne of Green Gables,Lucy Maud Montgomery,English,1908,50 million[40],General
Black Beauty,Anna Sewell,English,1877,50 million[41],Chadsildren's literature
The Name of the Rose (Il Nome della Rosa),Umberto Eco,Italian,1980,50 million[42],"Historical novel,  mystery"
The Eagle Has Landed,Jack Higgins,English,1975,50 million[43],"War,  thriller"
Watership Down,Richard Adams,English,1972,50 million[44],Fantasy
The Hite Report,Shere Hite,English,1976,50 million[45],Sexology
Charlotte's Web,E. B. White; illustrated by Garth Williams,English,1952,50 million[46],Children's fiction
The Ginger Man,J. P. Donleavy,English,1955,50 million[47],Novel
The Tale of Peter Rabbit,Beatrix Potter,English,1902,45 million,Children's Literature
Jonathan Livingston Seagull,Richard Bach,English,1970,44 million,"Novella, Self-help"
The Very Hungry Caterpillar,Eric Carle,English,1969,43 million,Children's Literature
A Message to Garcia,Elbert Hubbard,English,1899,40 million,Essay/Literature
To Kill a Mockingbird,Harper Lee,English,1960,40 million,"Southern Gothic, Bildungsroman"
Flowers in the Attic,V. C. Andrews,English,1979,40 million,"Gothic horror, Family saga"
Cosmos,Carl Sagan,English,1980,40 million,"Popular science, Anthropology, Astrophysics, Cosmology, Philosophy, History"
Sophie's World (Sofies verden),Jostein Gaarder,Norwegian,1991,40 million,"Philosophical novel, Young adult"
Angels & Demons,Dan Brown,English,2000,39 million,Mystery-thriller
Kane and Abel,Jeffrey Archer,English,1979,37 million,Novel
How the Steel Was Tempered (Как закалялась сталь),Nikolai Ostrovsky,Russian,1932,36.4 million copies in USSR,Socialist realist novel
War and Peace (Война и мир),Leo Tolstoy,Russian,1869,36 million copies in Russia,Historical novel
The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,1947,35 million,"Historical non-fiction, Autobiography, Memoir, Bildungsroman / Coming of Age, Jewish literature"
Your Erroneous Zones,Wayne Dyer,English,1976,35 million,Self-help
The Thorn Birds,Colleen McCullough,English,1977,33 million,Romantic family saga
The Purpose Driven Life,Rick Warren,English,2002,33 million,Christian literature
The Kite Runner,Khaled Hosseini,English,2003,31.5 million,"Bildungsroman, Historical fiction"
Valley of the Dolls,Jacqueline Susann,English,1966,31 million,Novel
Alcoholics Anonymous Big Book,Bill Wilson,English,1939,30 million,Self-help
How to Win Friends and Influence People,Dale Carnegie,English,1936,Over 30 million,Self-help
The Great Gatsby,F. Scott Fitzgerald,English,1925,"30 million (""around"")","Novel, Tragedy"
Gone with the Wind,Margaret Mitchell,English,1936,30 million (est.),Historical Fiction
Rebecca,Daphne du Maurier,English,1938,30 million (est.),Gothic novel
Nineteen Eighty-Four,George Orwell,English,1949,30 million,"Dystopian, political fiction, social science fiction"
The Revolt of Mamie Stover,William Bradford Huie,English,1951,30 million,Fiction
The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,Swedish,2005,30 million,Fiction
The Lost Symbol,Dan Brown,English,2009,30 million,Fiction
The Hunger Games,Suzanne Collins,English,2008,29 million in US,Young adult fiction
James and the Giant Peach,Roald Dahl,English,1961,28 million,Children's novel
The Young Guard (Молодая гвардия),Alexander Alexandrovich Fadeyev,Russian,1945,26 million copies in USSR,Young adult historical novel
Who Moved My Cheese?,Spencer Johnson,English,1998,28 - 30 million,"Self-help, Motivational, Business fable, Psychology, Leadership, Parable"
A Brief History of Time,Stephen Hawking,English,1988,25 million,Popular science
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25 million,Novel
Lust for Life,Irving Stone,English,1934,25 million,Biographical novel
The Wind in the Willows,Kenneth Grahame,English,1908,25 million,Children's literature
The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25 million,Self-help
Virgin Soil Upturned (Поднятая целина),Mikhail Sholokhov,Russian,1935,24 million copies in USSR,
The Celestine Prophecy,James Redfield,English,1993,23 million,New-age spiritual novel
The Fault in Our Stars,John Green,English,2012,23 million,Young adult romantic novel
The Girl on the Train,Paula Hawkins,English,2015,23 million,Thriller
The Shack,William P. Young,English,2007,22 million,Novel
Uncle Styopa (Дядя Степа),Sergey Mikhalkov,Russian,1936,21 million copies in USSR,
The Godfather,Mario Puzo,English,1969,21 million,Crime novel
Love Story,Erich Segal,English,1970,21 million,Romance novel
Catching Fire,Suzanne Collins,English,2009,21 million in US,"Young adult Novel, Adventure, Dystopian, Science fiction"
Mockingjay,Suzanne Collins,English,2010,20 million in US,"Young adult Novel, Adventure, War, Science fiction, Action Thriller"
Kitchen,Banana Yoshimoto,Japanese,1988,20 million,Japanese novel
Andromeda Nebula,Ivan Yefremov,Russian,1957,20 million,Science fiction novel
Autobiography of a Yogi,Paramahansa Yogananda,Hindi,1946,20 million,Autobiography
Gone Girl,Gillian Flynn,English,2012,20 million,Crime thriller novel
All Quiet on the Western Front (Im Westen nichts Neues),Erich Maria Remarque,German,1929,20 million,War novel
The Bermuda Triangle,Charles Berlitz,English,1974,20 million,
Things Fall Apart,Chinua Achebe,English,1958,20 million,Novel
Animal Farm,George Orwell,English,1945,20 million,"Satirical allegorical novella, Political satire, Dystopian Fiction, Roman à clef"
Wolf Totem (狼图腾),Jiang Rong,Chinese,2004,20 million,Semi-autobiographical novel
The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20 million,Memoir
Jaws,Peter Benchley,English,1974,20 million,Thriller
Love You Forever,Robert Munsch,English,1986,20 million,"Children's literature, Picture book, Fiction"
The Women's Room,Marilyn French,English,1977,20 million,Feminist novel
What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20 million,Pregnancy guide
Adventures of Huckleberry Finn,Mark Twain,English,1885,20 million,"Picaresque novel, Bildungsroman, Satire, Robinsonade"
"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,20 million,Young adult novel
Pride and Prejudice,Jane Austen,English,1813,20 million,"Classic Regency novel, Romance"
Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,20 million,Travel literature
The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,Czech,1923,20 million (printed),Unfinished satirical dark comedy novel
Where the Wild Things Are,Maurice Sendak,English,1963,20 million,Children's picture book
The Power of Positive Thinking,Norman Vincent Peale,English,1952,20 million,Self-help
The Secret,Rhonda Byrne,English,2006,20 million,Self-help
Fear of Flying,Erica Jong,English,1973,20 million,Romantic novel
Dune,Frank Herbert,English,1965,20 million,Science fiction novel
Charlie and the Chocolate Factory,Roald Dahl,English,1964,20 million,Children's fantasy novel
The Naked Ape,Desmond Morris,English,1968,20 million,"Social Science, Anthropology, Psychology"
"Totto-chan, the Little Girl at the Window (窓ぎわのトットちゃん)",Tetsuko Kuroyanagi,Japanese,1981,18 million (in Japan and China),
Matilda,Roald Dahl,English,1988,17 million,Children's Literature
The Book Thief,Markus Zusak,English,2005,16 million,Young Adult Fiction
The Horse Whisperer,Nicholas Evans,English,1995,16 million,
Goodnight Moon,Margaret Wise Brown,English,1947,16 million,Children's Literature
The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,16 million,Children's Literature
Fifty Shades of Grey,E. L. James,English,2011,15.2 million in the U.S.,Erotica
The Outsiders,S. E. Hinton,English,1967,15 million,
Guess How Much I Love You,Sam McBratney,English,1994,15 million,
Shōgun,James Clavell,English,1975,15 million,
The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15 million,
The Pillars of the Earth,Ken Follett,English,1989,15 million,Historical Literature
Perfume (Das Parfum),Patrick Süskind,German,1985,15 million,
The Grapes of Wrath,John Steinbeck,English,1939,15 million,
The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafón,Spanish,2001,15 million,
Interpreter of Maladies,Jhumpa Lahiri,English,2000,15 million,
Becoming,Michelle Obama,English,2018,14 million,
The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14 million,Science Fiction
Tuesdays with Morrie,Mitch Albom,English,1997,14 million,
God's Little Acre,Erskine Caldwell,English,1933,14 million,
Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,Italian,1994,14 million,
A Wrinkle in Time,Madeleine L'Engle,English,1962,14 million,
Long Walk to Freedom,Nelson Mandela,English,1994,14 million,
The Old Man and the Sea,Ernest Hemingway,English,1952,13 million,
Life After Life,Raymond Moody,English,1975,13 million,
Me Before You,Jojo Moyes,English,2012,12 million,
Norwegian Wood (ノルウェイの森),Haruki Murakami,Japanese,1987,12 million,
Peyton Place,Grace Metalious,English,1956,12.1 million,
The Plague (La Peste),Albert Camus,French,1947,12 million,
No Longer Human (人間失格),Osamu Dazai,Japanese,1948,12 million,
Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,German,1946,12 million,
The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,11 - 12 million (during the 20th century),
The Prophet,Kahlil Gibran,English,1923,11 million,
The Exorcist,William Peter Blatty,English,1971,11 million,Horror
The Gruffalo,Julia Donaldson,English,1999,10.5 million,
Fifty Shades Darker,E. L. James,English,2012,10.4 million in the U.S.,Erotica
"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,10 million,
The Cat in the Hat,Dr. Seuss,English,1957,10.5 million,
Diana: Her True Story,Andrew Morton,English,1992,10 million,
The Help,Kathryn Stockett,English,2009,10 million,
Catch-22,Joseph Heller,English,1961,10 million,
The Stranger (L'Étranger),Albert Camus,French,1942,10 million,
Eye of the Needle,Ken Follett,English,1978,10 million,
The Lovely Bones,Alice Sebold,English,2002,10 million,
Wild Swans,Jung Chang,English,1992,10 million,
Santa Evita,Tomás Eloy Martínez,Spanish,1995,10 million,
Night (Un di Velt Hot Geshvign),Elie Wiesel,Yiddish,1958,10 million,
Confucius from the Heart (于丹《论语》心得),Yu Dan,Chinese,2006,10 million,
The Total Woman,Marabel Morgan,English,1974,10 million,
Knowledge-value Revolution (知価革命),Taichi Sakaiya,Japanese,1985,10 million,
Problems in China's Socialist Economy (中国社会主义经济问题研究),Xue Muqiao,Chinese,1979,10 million,
What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,10 million,
The Dukan Diet,Pierre Dukan,French,2000,10 million,
The Joy of Sex,Alex Comfort,English,1972,10 million,
The Gospel According to Peanuts,Robert L. Short,English,1965,10 million,
The Subtle Art of Not Giving a Fuck,Mark Manson,English,2016,10 million,
Life of Pi,Yann Martel,English,2001,10 million,
The Giver,Lois Lowry,English,1993,10 million,
The Front Runner,Patricia Nell Warren,English,1974,10 million,
The Goal,Eliyahu M. Goldratt,English,1984,10 million,
Fahrenheit 451,Ray Bradbury,English,1953,10 million,
Angela's Ashes,Frank McCourt,English,1996,10 million,
The Story of My Experiments with Truth (સત્યના પ્રયોગો અથવા આત્મકથા),Mohandas Karamchand Gandhi,Gujarati,1925,10 million,
Bridget Jones's Diary,Helen Fielding,English,1996,10 million (as of 2005),
